X,Y,Z,TimeStmp,Day,Time,,,,,,,,,,,
-0.1376666,3.3806129,9.28232,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.092176765,3.430891,9.43914,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.17357962,3.465607,9.32781,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.25737667,3.478775,9.174581,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.25857377,3.4859576,9.1350765,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.25617957,3.4404678,9.27394,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.1412579,3.4117374,9.211691,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.077811554,3.4141316,9.26556,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.16519992,3.4356794,9.333796,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.24061728,3.4632127,9.41041,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.2765303,3.4751837,9.210494,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.2861071,3.4512417,9.105149,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.21547815,3.4763808,9.13388,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.12090719,3.4572272,9.233239,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.10295067,3.4129345,9.336189,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.17238252,3.4153287,9.411607,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.25977087,3.4141316,9.332599,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.25857377,3.4763808,9.23683,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.17597382,3.4560301,9.138668,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.10175357,3.4512417,9.1590185,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.11252748,3.4356794,9.241618,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.19991584,3.4356794,9.350554,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.30166942,3.442862,9.356541,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.31004912,3.4823663,9.246407,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.23822308,3.4823663,9.163807,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.1448492,3.4584243,9.2069025,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.10175357,3.4464533,9.233239,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.142455,3.4440591,9.2907,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.2765303,3.4823663,9.3026705,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.33518824,3.502717,9.238028,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.260968,3.4955344,9.223662,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.08738836,3.4464533,9.129091,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.007182605,3.4404678,9.272743,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.062249243,3.4141316,9.276335,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.21906945,3.4261026,9.376891,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.28491,3.4703953,9.313444,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.24061728,3.4811692,9.150639,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.20111294,3.4931402,9.101558,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.19991584,3.490746,9.198523,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.23942018,3.4249055,9.333796,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.15322891,3.3782187,9.350554,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.093373865,3.4045548,9.362526,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.16998832,3.4560301,9.266758,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
